restaurant,name,price
Blaze Pizza (212 F Street),Olive Oil Cup,$0.49
Blaze Pizza (212 F Street),BBQ Sauce Cup,$0.49
Blaze Pizza (212 F Street),Icing Cup,$0.00
Blaze Pizza (212 F Street),Secret Sauce Cup,$0.00
Blaze Pizza (212 F Street),Green Goddess Cup,$0.49
Blaze Pizza (212 F Street),Caesar Dressing Cup,$0.49
Blaze Pizza (212 F Street),Red Pepper Flakes,$0.00
Blaze Pizza (212 F Street),Parmesan,$0.00
Blaze Pizza (212 F Street),Napkins,$0.00
Blaze Pizza (212 F Street),Utensils,$0.00
