Category,Name,Price,Description,Base Calories,Max Calories
Shakes & Desserts,Strawberry Shake,5.99,"A thick and creamy shake, blended with strawberry flavors. Worth getting brain freeze over.",,
Shakes & Desserts,Chocolate Shake,5.99,"Our thick and creamy shake with chocolate syrup is a timeless classic. Get it before it's gone. Just kidding, it's not going anywhere.",,
Shakes & Desserts,Mini Churros (5),3.39,"Bite-sized Mini Churros dusted with cinnamon sugar. Perfect for sharing, with yourself. ",350,
Shakes & Desserts,Cheesecake,3.79,Light and creamy New York Style Cheesecake with graham cracker crust.,310,
Shakes & Desserts,Chocolate Overload™ Cake ,3.79,"Rich chocolate cake made with cocoa, bittersweet chocolate chips and drizzled with chocolate buttercream icing. It doesn't get more chocolate than this.",320,
Drinks,Coca-Cola®,3.59,Cool off with a refreshing Coca-Cola®.,,
Drinks,Coca-Cola® Zero Sugar,3.59,Enjoy the refreshment of Coca-Cola® Zero Sugar.,,
Drinks,Diet Coke®,3.59,Cool off with a refreshing Diet Coke®.,,
Drinks,Sprite®,3.59,Cool off with a refreshing Sprite®.,,
Drinks,Fanta® ,3.59,Cool off with a refreshing Fanta®.,,
Drinks,Dr Pepper®,3.59,Cool off with a refreshing Dr Pepper®.,,
Drinks,Diet Dr Pepper® ,3.59,,,
Drinks,Barq's® Root Beer,3.59,Cool off with a refreshing BARQ'S® Root Beer.,,
Drinks,Peace Tea®,3.59,Refreshing iced tea with a blend of bold flavors.,,
Drinks,Peace Tea® Zero Sugar,3.59,Refreshing iced tea with a blend of bold flavors and zero sugar.,,
Drinks,Gold Peak® Iced Tea,3.59,Freshly brewed tea with real ingredients.,,
Drinks,Mint Twisted Soda,,"St. Patty’s with a twist! A refreshing Sprite® with sweetened cream, vanilla, & mint flavors, finished w/ whipped topping. You're mint to treat yourself.",,
Drinks,Strawberry Red Daze Red Bull® Infusion,5.49,"A refreshing & energizing iced beverage infused with mixed berry flavors. Made to order with Red Bull® Energy Drink. *Contains Artificial Flavors*
",160,
Drinks,Strawberry Red Daze Red Bull® Infusion SugarFree,5.49,"A refreshing & energizing iced beverage infused with sweet strawberry & tart tangerine flavors. Made with Red Bull® Sugarfree. *Contains Artificial Flavors*
",60,
Drinks,Berry Purple Daze Red Bull® Infusion,5.49,A refreshing & energizing iced beverage infused with mixed berry flavors. Made to order with Red Bull® Energy Drink.  *Contains Artificial Flavor*,160,
Drinks,Berry Purple Daze Red Bull® Infusion SugarFree,5.49,A refreshing & energizing iced beverage infused with mixed berry flavors. Made to order with Red Bull® Sugarfree. *Contains Artificial Flavors*,60,
Drinks,Red Bull® Energy Can ,3.49,Red Bull® Energy Drink.,110,
Drinks,Red Bull® Energy SugarFree Can,3.49,Red Bull® Sugarfree.,10,
Drinks,Oreo® Mint Mocha Sweet Cream Iced Coffee,,"High Mountain Arabica coffee over ice, swirled with vanilla cream, and finished with whipped topping & Oreo® cookie crumbs. A minty sweet treat!",,
Drinks,Vanilla Sweet Cream Iced Coffee,3.69,"Enjoy our chilled, High Mountain Arabica coffee blended with sweetened cream and vanilla for a delicious and frosty pick me up anytime of day or night.",,
Drinks,Mocha Sweet Cream Iced Coffee,,"High Mountain Arabica coffee blended with sweetened, vanilla cream & chocolate served over ice for a delicious & frosty treat. Coffee made awesomer.",,
Drinks,Caramel Sweet Cream Iced Coffee,,"High Mountain Arabica coffee blended with sweetened, vanilla cream & caramel served over ice for a delicious & frosty treat. The perfect pick me up.",,
Drinks,High Mountain Arabica Coffee,2.29,"Rich, delicious, High Mountain Arabica coffee. It's the most delicious way to WAKE UP if you're feeling a little tired.",,
Drinks,Minute Maid® Apple Juice,2.39,"A refreshing juice with the flavor of crisp, ripe apples.",80,
Drinks,Simply Orange®,3.79,"Premium, delicious, never-from-concentrate orange juice. That's how we do it.",160,
Drinks,Dasani® Bottled Water,2.99,"DASANI® - purified water enhanced with minerals for a pure, fresh taste.",0,
Drinks,Milk,3.19,Low Fat 1% Milk,110,
Burgers,Big Smashed Jack™,10.99,"Two 1/4lb smashed patties made w/ 100% seasoned beef, cheese, pickles, lettuce, onion, & Jack’s Boss sauce on a triple brioche bun, plus fries & drink.",1200,
Burgers,Bacon & Swiss Buttery Smashed Jack™ ,9.99,"Melted garlic herb butter on our new ¼ lb. smashed patty, hickory smoked bacon, melty, natural Swiss cheese & bacon mayo on our signature brioche bun. ",800,
Burgers,Buttery Smashed Jack™ ,8.99,"Melted garlic herb butter on our new ¼ lb. smashed patty, melty, natural Swiss cheese, lettuce, tomato, ketchup & mayo, all on our signature brioche bun.",780,
Burgers,Bacon Double Smashed Jack™,10.99,"Two 1/4lb smashed patties, hickory smoked bacon, melty American cheese, pickles, grilled onions & all-new Boss Sauce on a soft brioche bun. It's real good.",1070,
Burgers,Classic Smashed Jack™,8.99,"1/4lb smashed patty, melty American cheese, pickles, grilled onions & all-new Boss Sauce on a soft brioche bun. Your new favorite fast food burger.",700,
Burgers,Bacon Ultimate Cheeseburger™,8.99,"2x 100% beef seasoned as it grills, hickory smoked bacon, melty American & Swiss style cheeses, ketchup, mustard & mayo on a buttery bakery bun.",930,
Burgers,Ultimate Cheeseburger™,8.39,"2x the 100% beef seasoned as it grills, melty American & Swiss style cheeses, ketchup, mustard & mayo on a toasted buttery bakery bun. For ultimate yum.",840,
Burgers,Double Jack®,8.39,"2x 100% beef seasoned as it grills, 2 slices of melty American cheese, tomatoes, lettuce, pickles, onions, ketchup, mustard & mayo on a buttery bakery bun.",830,
Burgers,Sourdough Jack®,7.99,"100% beef seasoned as it grills, hickory smoked bacon, tomato, melty Swiss style cheese, mayo & ketchup on toasted sourdough bread. Drool worthy.",700,
